# week 1
# day 1
regular	規則正しい
exercise	運動
challenge	挑む
effort	努力
positive	前向きな
physical	身体の
frequently	しばしば
result	結果
muscle	筋肉
gradually	徐々に
athlete	運動選手
treasure	財宝
# day 2
entertain	楽しませる
ceremony	式
consist	成り立つ
organize	計画する
combine	結びつける
oppose	反対する
reduce	減らす
connect	つなぐ
process	加工する
attach	添付する
settle	移住する(本来、定住の意
spoil	台無しにする
# day 3
entirely	完全に
nervous	心配な
capacity	収容能力
chance	可能性
behavior	振る舞い
virtue	美徳
aim	努力する
duty	義務
aspect	側面
laughter	笑い
bear	耐える
sorrow	悲しみ
# day 4
dislike	嫌う
childhood	子供の頃
particular	特定の
reason	理由
similar	よく似た
provide	供給する
vitamin	ビタミン
prevent	防ぐ
disease	病気
actually	実は
agree	意見が一致する
taste	〜の味がする
# day 5
boring	退屈な
stupid	愚かな(st~
length	長さ
break	休憩
tidy	整頓された
furniture	家具
relax	くつろがせる
nap	仮眠
annual	年に一度の
lively	元気のいい
destination	目的地
miserable	惨めな
# week 2
# day 6
notice	気がつく
ability	能力
encourage	勇気づける
introduce	紹介する
willing	いとわない
publish	出版する
material	材料
complete	全部揃った
signature	署名
professional	職業の
even	平らな
graduate	卒業する
# day 7
depend	頼る
create	創造する
schedule	予定
follow	ついていく
grade	学年
examination	試験
comfortable	快適な
necessary	必要な
moment	瞬間
waste	浪費する
identify	特定する
ignore	無視する
# day 8
observe	観察する
standard	標準の
exchange	交換する
proper	適切な
habit	習慣
skill	技能
greet	あいさつする
comment	論評
impress	感銘を与える
pleasant	心地よい
avoid	避ける
excuse	言い訳
# day 9
precious	貴重な
earn	稼ぐ
spare	予備の
defend	守る
doubt	疑う
praise	称賛
sympathy	同情
fail	失敗する
fault	誤り
guess	推測する
silly	愚かな(si~
last	続く
# day 10
recall	思い出す
argue	議論する
yell	大声で叫ぶ
compete	競争する
crack	ピシャリと叩く
upset	取り乱した
dirt	汚れ
cruel	残酷な
pass	合格する
sensitive	敏感な
gentle	優しい
grateful	感謝して
