# week 3
# day 11
lack	不足、欠如\n欠く
electricity	電気、興奮
attend	出席する
opportunity	機会
scientific	科学の
unique	唯一の
item	項目
invent	発明する\nでっちあげる
improve	改善する
quality	質
sincere	誠実な
solve	解決する
# day 12
device	装置
letter	文字
inform	通知する
pause	中断
reply	返事する
draw	描く、引く
represent	代表する
stuff	材料、詰め込む
line	列
instruction	教育、支持、使用説明書(キクタン)
develop	発達させる、開発させる
occasion	場合
# day 13
involved	関係した
nasty	意地悪な
public	公共の
rest	残り
incident	出来事
proud	誇りに思う
jealous	嫉妬して
resource	資源
latter	後者の
innocent	無罪の、無邪気な
odd	奇妙な、奇数の
case	事件、場合
# day 14
story　階、物語
contrary	反対の
tendency	傾向
gradual	徐々の
characteristic	特有の
strength	力、強さ
conference	会議、会議を開く、参加する
employ	雇う
value	価値
company	仲間、会社
client	顧客
demand	需要
# day 15
mysterious	謎めいた
occasionally	時折
discovery	発見
universe	宇宙、全世界
unusual	異常な
promising	前と有望な、見込みのある
involve	伴う
sweat	汗
headache	頭痛
steady	安定した
honest	正直な
celebrate	祝う
