# week 6
# day 26
curious	好奇心が強い
definition	定義
chemical	科学物質
billion	10億
cell	細胞
frightened	怯えた
mad	怒って	
ashamed	恥じて
manufacture	製造業
depth	深さ	
article	記事
disadvantage　不利
# day 27
confidence	信頼
honor	名誉
courage	勇気
relatively	比較的
anger	怒り
fair	公平な
reasonable	理にかなった	
describe	説明する
negative	否定的な
convince	納得させる
prove	証明する
determine	明らかにする
# day 28
pretend	装う
mean	意味する
sign	兆候
regard	見なす
close	接近した
desire	望む
smooth	滑らかな
admire	感心する
way	やりかた
compare	比較する
likely	しそうな
respond	反応する
# day 29
hate	ひどく嫌う
express	表現する
novel	小説
method	方法
journal	雑誌
maintain	維持する
tool	道具
paper	新聞
room	空間
detail	細部
recent	最近の
translate	翻訳する
# day 30
situation	状況
hesitate	ためらう
bother	困らせる
encounter	遭遇する
senior	身分が上の
luggage	手荷物
unknown	未知の
wheel	車輪
loose	解けている
slightly	ほんの少し
nevertheless	それにもかかわらず
fix	修理する
