# week 7
# day 36
revolution	革命
store	蓄える
influence	影響力
head	向かう
overall	総合的な
volume	容積
launch	始める
mass	塊
cancer	がん
vast	広大な
fortune	財産
fellow	仲間、同僚、親しいやつ
# day 37
data	資料
instrument	道具
gap	隙間
background	経歴
institution	機関
access	利用する権利
share	株
department	部
committee	委員会
content	中身
fine	罰金
acquire	獲得する
# day 38
remarkable	注目すべき
global	世界的な
trade	貿易
household	世帯
thus	このように
efficient	能率的な
import	輸入する
export	輸出する
goods	商品
outcome	結果
traditional	伝統的な
occupation	職業
# day 39
originally	もともとは
intend	するつもりだ
offer	提供する
rapid	速い
convenient	便利な
arrange	取り決める
date	日
appointment	約束
merit	長所
wealthy	裕福な
worth	価値がある
belong	所属する
# day 40
nearly	ほとんど
cellphone	携帯電話
contact	連絡する
helpful	助けになる
tend	しがちである
direction	方向
conscious	気づいている
move	感動させる
rush	急ぐ
scream	悲鳴を上げる
disappear	消える
manner	方法
