おもしろし	すばらしい、興趣がある
あらまほし	理想的だ
やむごとなし	高貴だ、この上ない
ゆゆし	不吉だ、不吉なほど美しい\nすばらしい、はなただしい
かしこし	[畏し、恐し]おそれ多い、[賢し]すばらしい、[かしこく]非常に
うるはし	端正だ、親しい
はかなし	頼りない、ちょっとした
はかばかし	しっかりしている、はっきりしている
やさし	優雅だ、けなげだ
いはけなし	幼い、あどけない
かたはらいたし	見苦しい、気の毒だ、恥ずかしい、(ばかばかしい)
こころもとなし	待ち遠しい、不安だ、はっきりしない(実現の時期がはっきりしない<->おぼつかなし
いとほし	かわいそうだ、かわいい
あさまし	驚きあきれるほどだ、呆れるほどひどい、情けない(後２つはマイナスのイメージが強い)
いたし	[連用形]とても、[else]すばらしい
つれなし	平然としている、冷淡だ、なんの変化もない
あいなし	筋違いだ、つまらない、[連用形]むやみに
あぢきなし	どうにもならない、つまらない
さがなし	性質が良くない、いたずらだ
すさまじ	興ざめだ、殺風景だ
いふかいなし	どうしようもない、取るに足らない、ひどい
よしなし	(関係、方法)がない、つまらない
びんなし	まずい！、都合がわるい、困ったことだ
さうざうし	物足りない
むつかし	うっとうしい、わずらわしい、むさくるしい、気味が悪い
