おどろく	気づく、目を覚ます
ののしる	大騒ぎする、大声で叫ぶ\n評判になる、噂になる
念ず	祈る、我慢する
おぼゆ	思われる、思い出される\n似ている、(人から)思われる
しのぶ	[忍ぶ]我慢する、人目を避ける\n[偲ぶ]懐かしむ、思い慕う
ながむ	物思いに沈む、ぼんやりみる
見ゆ	[自発]見える、思われる\n姿を見せる、現れる\n見られる、結婚する、見せる
あふ	結婚する、男女の関係を持つ
ゐる	座る、(連用形、"て"に続いて)〜ている
ありく	動き回る、出歩く、して回る、続ける
飽く	満足する、[飽かず]満ち足りない
うつくし	かわいらしい、立派だ
かなし	愛しい、かわいい
いみじ	とても、とてもすばらしい、悲しい
をかし	趣がある、美しい、滑稽だ
よし	よい、優れている、身分が高く教養がある
あやし	[奇し、怪し]不思議だ、けしからん\n[賎し]身分が低い、粗末だ
おとなし	大人らしい、年配だ、思慮分別がある
ゆかし	みたい、聞きたい、知りたい
おぼつかなし	ぼんやりしている、気がかりだ、待ち遠しい\n(今の状況に対してはっきりしない<->こころもとなし
ありがたし	めったにない、立派だ
めでたし	すばらしい、立派だ
口惜し	残念だ
憂し	つらい、いやだ
わびし	つらい、興ざめだ
あわれなり	心にジーンとくる
おろかなり	おろそかだ、(言ふも、言へばに続いて)言葉では言い尽くせない
ねんごろなり	熱心、丁寧だ、親しい
徒然なり	所在ない、しんみりと物寂しい
徒らなり	むだだ、手持ち無沙汰で暇だ
年ごろ	長年
かたち	容貌
影	光、姿
ほい	[本意]かねてからの願い、宿願
物語	話、物語
文(ふみ)	手紙、漢詩、漢籍、学問
ほど	様子、程度、身分(程度を表す)
なさけ	思いやり、風流心、情愛
ちぎり	約束、宿縁、逢瀬
けしき	様子、機嫌、顔色、思い
いと	とても(否定はveryと同様)
あまた	たくさん
げに	なるほど、本当に
なほ	やはり
やがて	そのまま、すぐに
やうやう	だんだん
え〜打消	できない
な〜そ	するな(ないでこそ->出てくるな)
さらに〜打消	まったく〜ない
いかで、いかでか	疑問、反語、願望（どうにかして）
